params,similarity_point
"(100, 3, 1, 0, 15, 0.025)",4.9130915105342865
"(100, 3, 1, 0, 15, 0.05)",3.8772155344486237
"(100, 3, 1, 0, 25, 0.025)",4.553436636924744
"(100, 3, 1, 0, 25, 0.05)",3.793880209326744
"(100, 3, 1, 1, 15, 0.025)",5.161604702472687
"(100, 3, 1, 1, 15, 0.05)",4.851815342903137
"(100, 3, 1, 1, 25, 0.025)",4.884142965078354
"(100, 3, 1, 1, 25, 0.05)",4.681819453835487
"(100, 3, 2, 0, 15, 0.025)",4.8664834797382355
"(100, 3, 2, 0, 15, 0.05)",3.8217246532440186
"(100, 3, 2, 0, 25, 0.025)",4.57902729511261
"(100, 3, 2, 0, 25, 0.05)",3.7013203501701355
"(100, 3, 2, 1, 15, 0.025)",5.182917356491089
"(100, 3, 2, 1, 15, 0.05)",4.808660537004471
"(100, 3, 2, 1, 25, 0.025)",4.743480816483498
"(100, 3, 2, 1, 25, 0.05)",4.746438026428223
"(100, 5, 1, 0, 15, 0.025)",5.1687696278095245
"(100, 5, 1, 0, 15, 0.05)",3.8152531683444977
"(100, 5, 1, 0, 25, 0.025)",4.72101628780365
"(100, 5, 1, 0, 25, 0.05)",3.8922068998217583
"(100, 5, 1, 1, 15, 0.025)",5.194334477186203
"(100, 5, 1, 1, 15, 0.05)",5.136669844388962
"(100, 5, 1, 1, 25, 0.025)",4.980193912982941
"(100, 5, 1, 1, 25, 0.05)",5.022282496094704
"(100, 5, 2, 0, 15, 0.025)",5.027829706668854
"(100, 5, 2, 0, 15, 0.05)",3.895982727408409
"(100, 5, 2, 0, 25, 0.025)",4.620746910572052
"(100, 5, 2, 0, 25, 0.05)",3.7877091616392136
"(100, 5, 2, 1, 15, 0.025)",5.323910802602768
"(100, 5, 2, 1, 15, 0.05)",5.147271156311035
"(100, 5, 2, 1, 25, 0.025)",5.0557424277067184
"(100, 5, 2, 1, 25, 0.05)",5.124153643846512
"(100, 10, 1, 0, 15, 0.025)",5.158950462937355
"(100, 10, 1, 0, 15, 0.05)",3.828464288264513
"(100, 10, 1, 0, 25, 0.025)",4.628428548574448
"(100, 10, 1, 0, 25, 0.05)",3.544302746653557
"(100, 10, 1, 1, 15, 0.025)",5.5084991455078125
"(100, 10, 1, 1, 15, 0.05)",5.507903277873993
"(100, 10, 1, 1, 25, 0.025)",5.229811981320381
"(100, 10, 1, 1, 25, 0.05)",5.532247960567474
"(100, 10, 2, 0, 15, 0.025)",5.034443527460098
"(100, 10, 2, 0, 15, 0.05)",3.7979376018047333
"(100, 10, 2, 0, 25, 0.025)",4.5924181044101715
"(100, 10, 2, 0, 25, 0.05)",3.546190273016691
"(100, 10, 2, 1, 15, 0.025)",5.42502635717392
"(100, 10, 2, 1, 15, 0.05)",5.61343914270401
"(100, 10, 2, 1, 25, 0.025)",5.356129497289658
"(100, 10, 2, 1, 25, 0.05)",5.586414843797684
"(200, 3, 1, 0, 15, 0.025)",4.825595319271088
"(200, 3, 1, 0, 15, 0.05)",3.682081624865532
"(200, 3, 1, 0, 25, 0.025)",4.425321131944656
"(200, 3, 1, 0, 25, 0.05)",3.3412361964583397
"(200, 3, 1, 1, 15, 0.025)",4.80013433098793
"(200, 3, 1, 1, 15, 0.05)",4.418231472373009
"(200, 3, 1, 1, 25, 0.025)",4.309427171945572
"(200, 3, 1, 1, 25, 0.05)",4.1646164655685425
"(200, 3, 2, 0, 15, 0.025)",4.909957319498062
"(200, 3, 2, 0, 15, 0.05)",3.537622392177582
"(200, 3, 2, 0, 25, 0.025)",4.410133540630341
"(200, 3, 2, 0, 25, 0.05)",3.43311370909214
"(200, 3, 2, 1, 15, 0.025)",4.926793932914734
"(200, 3, 2, 1, 15, 0.05)",4.479522347450256
"(200, 3, 2, 1, 25, 0.025)",4.459917575120926
"(200, 3, 2, 1, 25, 0.05)",4.274716883897781
"(200, 5, 1, 0, 15, 0.025)",5.117038011550903
"(200, 5, 1, 0, 15, 0.05)",3.731159120798111
"(200, 5, 1, 0, 25, 0.025)",4.651133716106415
"(200, 5, 1, 0, 25, 0.05)",3.3916722759604454
"(200, 5, 1, 1, 15, 0.025)",4.834259256720543
"(200, 5, 1, 1, 15, 0.05)",4.558078944683075
"(200, 5, 1, 1, 25, 0.025)",4.479003578424454
"(200, 5, 1, 1, 25, 0.05)",4.33809295296669
"(200, 5, 2, 0, 15, 0.025)",5.106213271617889
"(200, 5, 2, 0, 15, 0.05)",3.82353176176548
"(200, 5, 2, 0, 25, 0.025)",4.5920959413051605
"(200, 5, 2, 0, 25, 0.05)",3.664965197443962
"(200, 5, 2, 1, 15, 0.025)",5.004806369543076
"(200, 5, 2, 1, 15, 0.05)",4.737595945596695
"(200, 5, 2, 1, 25, 0.025)",4.565707266330719
"(200, 5, 2, 1, 25, 0.05)",4.5014152228832245
"(200, 10, 1, 0, 15, 0.025)",5.053953319787979
"(200, 10, 1, 0, 15, 0.05)",3.7261466085910797
"(200, 10, 1, 0, 25, 0.025)",4.633857622742653
"(200, 10, 1, 0, 25, 0.05)",3.422746317461133
"(200, 10, 1, 1, 15, 0.025)",4.9242269694805145
"(200, 10, 1, 1, 15, 0.05)",4.697750300168991
"(200, 10, 1, 1, 25, 0.025)",4.620418384671211
"(200, 10, 1, 1, 25, 0.05)",4.601555973291397
"(200, 10, 2, 0, 15, 0.025)",5.033835679292679
"(200, 10, 2, 0, 15, 0.05)",3.6060690209269524
"(200, 10, 2, 0, 25, 0.025)",4.526667892932892
"(200, 10, 2, 0, 25, 0.05)",3.5220830887556076
"(200, 10, 2, 1, 15, 0.025)",5.02899357676506
"(200, 10, 2, 1, 15, 0.05)",4.670389086008072
"(200, 10, 2, 1, 25, 0.025)",4.611045688390732
"(200, 10, 2, 1, 25, 0.05)",4.672003895044327
"(300, 3, 1, 0, 15, 0.025)",4.890933334827423
"(300, 3, 1, 0, 15, 0.05)",3.673798605799675
"(300, 3, 1, 0, 25, 0.025)",4.307432994246483
"(300, 3, 1, 0, 25, 0.05)",3.5062751322984695
"(300, 3, 1, 1, 15, 0.025)",4.909347951412201
"(300, 3, 1, 1, 15, 0.05)",4.332405209541321
"(300, 3, 1, 1, 25, 0.025)",4.364252969622612
"(300, 3, 1, 1, 25, 0.05)",4.079814195632935
"(300, 3, 2, 0, 15, 0.025)",4.89515894651413
"(300, 3, 2, 0, 15, 0.05)",3.5987448692321777
"(300, 3, 2, 0, 25, 0.025)",4.372242793440819
"(300, 3, 2, 0, 25, 0.05)",3.345913626253605
"(300, 3, 2, 1, 15, 0.025)",4.888954818248749
"(300, 3, 2, 1, 15, 0.05)",4.317451491951942
"(300, 3, 2, 1, 25, 0.025)",4.3738072514534
"(300, 3, 2, 1, 25, 0.05)",4.133746549487114
"(300, 5, 1, 0, 15, 0.025)",5.089135318994522
"(300, 5, 1, 0, 15, 0.05)",3.7109004706144333
"(300, 5, 1, 0, 25, 0.025)",4.567343056201935
"(300, 5, 1, 0, 25, 0.05)",3.454795368015766
"(300, 5, 1, 1, 15, 0.025)",4.851705640554428
"(300, 5, 1, 1, 15, 0.05)",4.495427414774895
"(300, 5, 1, 1, 25, 0.025)",4.50019696354866
"(300, 5, 1, 1, 25, 0.05)",4.344355076551437
"(300, 5, 2, 0, 15, 0.025)",5.123328745365143
"(300, 5, 2, 0, 15, 0.05)",3.740478202700615
"(300, 5, 2, 0, 25, 0.025)",4.499359652400017
"(300, 5, 2, 0, 25, 0.05)",3.594388023018837
"(300, 5, 2, 1, 15, 0.025)",4.9603078961372375
"(300, 5, 2, 1, 15, 0.05)",4.555787041783333
"(300, 5, 2, 1, 25, 0.025)",4.520371705293655
"(300, 5, 2, 1, 25, 0.05)",4.429468780755997
"(300, 10, 1, 0, 15, 0.025)",5.049415171146393
"(300, 10, 1, 0, 15, 0.05)",3.760950993746519
"(300, 10, 1, 0, 25, 0.025)",4.403506308794022
"(300, 10, 1, 0, 25, 0.05)",3.3965219780802727
"(300, 10, 1, 1, 15, 0.025)",4.814854711294174
"(300, 10, 1, 1, 15, 0.05)",4.622892796993256
"(300, 10, 1, 1, 25, 0.025)",4.476140201091766
"(300, 10, 1, 1, 25, 0.05)",4.41917759180069
"(300, 10, 2, 0, 15, 0.025)",5.054931819438934
"(300, 10, 2, 0, 15, 0.05)",3.699203133583069
"(300, 10, 2, 0, 25, 0.025)",4.462107568979263
"(300, 10, 2, 0, 25, 0.05)",3.354898016899824
"(300, 10, 2, 1, 15, 0.025)",4.954538255929947
"(300, 10, 2, 1, 15, 0.05)",4.748503640294075
"(300, 10, 2, 1, 25, 0.025)",4.585191980004311
"(300, 10, 2, 1, 25, 0.05)",4.496505945920944
